date,state,fips,cases,deaths,population,cases_prop
2020-03-06,Wisconsin,55,1,0,5822434,0.017174947796746172
2020-03-07,Arizona,04,5,0,7278717,0.0686934249538758
2020-03-07,California,06,100,1,39512223,0.25308624118668294
2020-03-07,Colorado,08,8,0,5758736,0.1389193739737331
2020-03-07,District of Columbia,11,1,0,705749,0.14169343491807992
2020-03-07,Florida,12,12,2,21477737,0.05587180809598329
2020-03-07,Georgia,13,7,0,10617423,0.06592936911339031
2020-03-07,Hawaii,15,1,0,1415872,0.07062785336527595
2020-03-07,Illinois,17,6,0,12671821,0.04734915368517279
2020-03-07,Indiana,18,1,0,6732219,0.014853943402613612
2020-03-07,Kansas,20,1,0,2913314,0.034325170578935194
2020-03-07,Kentucky,21,1,0,4467673,0.0223830168412057
2020-03-07,Maryland,24,3,0,6045680,0.04962220957774807
2020-03-07,Massachusetts,25,13,0,6949503,0.18706373678808397
2020-03-07,Minnesota,27,1,0,5639632,0.017731653412846795
2020-03-07,Missouri,29,1,0,6137428,0.016293470163723303
2020-03-07,Nebraska,31,14,0,1934408,0.7237356338476681
2020-03-07,Nevada,32,2,0,3080156,0.06493177618276477
2020-03-07,New Hampshire,33,4,0,1359711,0.2941801603428964
2020-03-07,New Jersey,34,4,0,8882190,0.045033938702054334
2020-03-07,New York,36,89,0,19453561,0.4574997862859144
2020-03-07,North Carolina,37,2,0,10488084,0.019069259933463537
2020-03-07,Oklahoma,40,1,0,3956971,0.02527185566939965
2020-03-07,Oregon,41,6,0,4217737,0.14225638061358495
2020-03-07,Pennsylvania,42,4,0,12801989,0.031245144797421714
2020-03-07,Rhode Island,44,3,0,1059361,0.28318958315437326
2020-03-07,South Carolina,45,2,0,5148714,0.03884465130516086
2020-03-07,Tennessee,47,1,0,6833174,0.014634487574881014
2020-03-07,Texas,48,19,0,28995881,0.06552654840872053
2020-03-07,Utah,49,3,0,3205958,0.09357577360651637
2020-03-07,Vermont,50,1,0,623989,0.16025923533908448
2020-03-07,Virginia,51,1,0,8535519,0.011715749212203733
2020-03-07,Washington,53,110,16,7614893,1.4445376973780195
2020-03-07,Wisconsin,55,1,0,5822434,0.017174947796746172
2020-03-08,Arizona,04,5,0,7278717,0.0686934249538758
2020-03-08,California,06,112,1,39512223,0.28345659012908486
2020-03-08,Colorado,08,8,0,5758736,0.1389193739737331
2020-03-08,Connecticut,09,1,0,3565287,0.028048232863160806
2020-03-08,District of Columbia,11,1,0,705749,0.14169343491807992
2020-03-08,Florida,12,13,2,21477737,0.0605277921039819
2020-03-08,Georgia,13,11,0,10617423,0.10360329432104194
2020-03-08,Hawaii,15,2,0,1415872,0.1412557067305519
2020-03-08,Illinois,17,7,0,12671821,0.05524067929936826
2020-03-08,Indiana,18,2,0,6732219,0.029707886805227224
2020-03-08,Iowa,19,3,0,3155070,0.0950850535804277
2020-03-08,Kansas,20,1,0,2913314,0.034325170578935194
2020-03-08,Kentucky,21,4,0,4467673,0.0895320673648228
2020-03-08,Maryland,24,5,0,6045680,0.08270368262958014
2020-03-08,Massachusetts,25,28,0,6949503,0.40290651000510397
2020-03-08,Minnesota,27,2,0,5639632,0.03546330682569359
2020-03-08,Missouri,29,1,0,6137428,0.016293470163723303
2020-03-08,Nebraska,31,16,0,1934408,0.8271264386830492
2020-03-08,Nevada,32,4,0,3080156,0.12986355236552954
2020-03-08,New Hampshire,33,4,0,1359711,0.2941801603428964
2020-03-08,New Jersey,34,6,0,8882190,0.0675509080530815
2020-03-08,New York,36,106,0,19453561,0.544887385913561
2020-03-08,North Carolina,37,2,0,10488084,0.019069259933463537
2020-03-08,Oklahoma,40,1,0,3956971,0.02527185566939965
2020-03-08,Oregon,41,13,0,4217737,0.30822215799610075
2020-03-08,Pennsylvania,42,6,0,12801989,0.04686771719613257
2020-03-08,Rhode Island,44,3,0,1059361,0.28318958315437326
2020-03-08,South Carolina,45,6,0,5148714,0.11653395391548259
2020-03-08,Tennessee,47,3,0,6833174,0.04390346272464304
2020-03-08,Texas,48,23,0,28995881,0.07932161123160907
2020-03-08,Utah,49,3,0,3205958,0.09357577360651637
2020-03-08,Vermont,50,1,0,623989,0.16025923533908448
2020-03-08,Virginia,51,2,0,8535519,0.023431498424407466
2020-03-08,Washington,53,141,19,7614893,1.8516346848209162
2020-03-08,Wisconsin,55,1,0,5822434,0.017174947796746172
